mmsi,total_records,first_seen,last_seen,duration_days,avg_latitude,avg_longitude,avg_speed_knots,min_speed_knots,max_speed_knots,avg_course
209078000,450,2024-10-25 17:59:17.211000+00:00,2025-01-17 16:40:16.999000+00:00,83.95,61.1307,5.0221,12.41,11.9,12.8,182.3
258170000,449,2024-08-03 12:40:06.380000+00:00,2025-02-20 01:23:55.692000+00:00,200.53,61.1338,5.0224,10.26,9.2,11.1,182.0
257035870,448,2024-11-16 05:19:16.553000+00:00,2024-11-16 06:16:05.915000+00:00,0.04,61.1285,5.0822,10.42,8.7,12.7,190.7
258343000,447,2025-02-24 05:44:04.164000+00:00,2025-03-01 14:00:14.199000+00:00,5.34,61.1338,5.0221,10.54,2.2,12.8,213.0
259305000,447,2025-03-01 05:41:06.416000+00:00,2025-03-01 06:56:57.411000+00:00,0.05,60.0287,5.3543,11.01,10.7,11.4,335.4
249556000,446,2024-08-15 14:22:07.381000+00:00,2024-08-27 01:51:33.271000+00:00,11.48,61.1321,5.0234,13.91,11.3,15.8,230.1
257872000,445,2025-02-20 19:57:05.603000+00:00,2025-03-21 17:18:52.253000+00:00,28.89,60.5692,5.1795,11.62,10.7,12.5,239.2
314552000,443,2024-11-30 05:25:16.441000+00:00,2024-11-30 06:10:45.807000+00:00,0.03,61.1272,5.0238,8.54,8.0,9.3,182.2
257696800,441,2024-08-29 20:07:08.034000+00:00,2024-08-29 20:23:21.898000+00:00,0.01,61.1318,5.0217,23.26,22.7,24.1,180.9
229090000,437,2024-10-09 19:56:14.285000+00:00,2024-10-09 20:45:27.397000+00:00,0.03,61.1327,5.0848,12.35,11.4,13.7,197.3
319213600,437,2025-03-22 10:30:14.802000+00:00,2025-03-22 11:48:15.265000+00:00,0.05,60.0254,5.3497,10.75,9.9,11.5,153.5
209190000,436,2024-12-26 10:45:35.481000+00:00,2025-01-24 17:42:14.820000+00:00,29.29,61.1329,5.0221,12.84,12.0,14.1,181.9
257278400,436,2024-08-08 19:57:07.266000+00:00,2024-09-05 18:50:00.723000+00:00,27.95,61.1308,5.0229,10.73,7.0,12.0,219.5
259040090,433,2025-03-10 19:46:55.606000+00:00,2025-03-15 11:32:10.885000+00:00,4.66,60.6631,5.1034,8.27,6.7,9.2,221.7
266475000,431,2025-03-22 13:30:34.016000+00:00,2025-03-22 14:48:23.827000+00:00,0.05,60.0292,5.3463,10.83,9.8,11.5,154.5
257440500,431,2024-09-19 05:09:23.074000+00:00,2024-09-19 06:11:43.150000+00:00,0.04,61.1288,5.0197,5.13,0.2,6.8,188.7
314020000,430,2024-10-16 14:59:52.495000+00:00,2024-11-26 01:12:34.890000+00:00,40.43,61.1317,5.0223,11.34,10.7,11.9,201.5
259007800,430,2024-08-23 09:28:08.299000+00:00,2024-08-23 09:42:41.507000+00:00,0.01,61.1326,5.0222,26.31,15.7,27.6,255.8
258289500,425,2025-01-10 17:16:55.775000+00:00,2025-01-10 17:31:29.189000+00:00,0.01,61.1326,5.023,26.1,25.5,26.7,264.4
236446000,424,2024-12-16 20:49:07.691000+00:00,2025-01-03 18:30:03.175000+00:00,17.9,61.1316,5.0235,10.89,5.6,13.0,229.5
538006249,423,2025-03-06 00:41:07.493000+00:00,2025-03-06 01:52:48.995000+00:00,0.05,60.0296,5.3477,11.81,11.0,12.8,155.4
236669000,423,2024-08-21 22:59:24.352000+00:00,2025-03-18 20:47:32.970000+00:00,208.91,60.572,5.2537,12.84,11.7,13.7,140.7
257714500,423,2024-10-30 11:17:53.513000+00:00,2024-10-30 12:09:57.516000+00:00,0.04,61.1259,5.0223,7.87,7.6,8.3,210.2
257321400,422,2025-03-29 16:25:04.029000+00:00,2025-03-29 17:51:53.484000+00:00,0.06,59.9632,5.3498,6.66,4.7,7.6,252.7
258013510,422,2025-03-11 07:37:47.694000+00:00,2025-03-13 17:27:39.977000+00:00,2.41,60.6815,5.0998,10.14,9.4,10.8,178.2
257657600,420,2025-01-12 23:13:10.815000+00:00,2025-01-13 00:15:39.360000+00:00,0.04,61.1354,5.0211,5.68,5.2,6.4,180.9
257409000,418,2025-03-06 06:36:40.613000+00:00,2025-03-06 07:39:02.959000+00:00,0.04,60.0318,5.3501,13.51,13.0,14.2,337.6
275551000,415,2025-03-09 19:58:24.363000+00:00,2025-03-09 20:55:34.256000+00:00,0.04,61.1297,5.0774,10.03,9.0,11.0,179.6
255805981,415,2025-03-22 23:59:01.004000+00:00,2025-03-23 01:13:40.445000+00:00,0.05,60.0268,5.3495,11.26,10.4,12.4,154.4
205250970,414,2025-03-13 11:47:16.510000+00:00,2025-03-13 13:26:37.173000+00:00,0.07,60.1114,5.4489,5.81,5.1,6.2,289.0
266459000,411,2024-08-07 19:35:09.902000+00:00,2024-08-31 11:32:47.928000+00:00,23.67,61.1337,5.0223,10.26,7.7,11.5,211.4
259604000,411,2025-03-13 12:59:48.157000+00:00,2025-03-13 13:19:37.880000+00:00,0.01,60.111,5.4379,30.34,30.0,30.5,107.2
